tanggal,harga
2021-08-02,13666.67
2021-08-03,14333.33
2021-08-04,16000.0
2021-08-05,14333.33
2021-08-06,13666.67
2021-08-07,13333.33
2021-08-08,13000.0
2021-08-09,13000.0
2021-08-10,13000.0
2021-08-11,12666.67
2021-08-12,12666.67
2021-08-13,13000.0
2021-08-14,13000.0
2021-08-15,13000.0
2021-08-16,13000.0
2021-08-17,13000.0
2021-08-18,12000.0
2021-08-19,12000.0
2021-08-20,12000.0
2021-08-21,12000.0
2021-08-22,12000.0
2021-08-23,10333.33
2021-08-24,10000.0
2021-08-25,10000.0
2021-08-26,10000.0
2021-08-27,10000.0
2021-08-28,9666.67
2021-08-29,9666.67
2021-08-30,9333.33
2021-08-31,9333.33
2021-09-01,10666.67
2021-09-02,11333.33
2021-09-03,11333.33
2021-09-04,12000.0
2021-09-05,12000.0
2021-09-06,12000.0
2021-09-07,12000.0
2021-09-08,12000.0
2021-09-09,11666.67
2021-09-10,11666.67
2021-09-11,12333.33
2021-09-12,12333.33
2021-09-13,13333.33
2021-09-14,13333.33
2021-09-15,13333.33
2021-09-16,13333.33
2021-09-17,12666.67
2021-09-18,12666.67
2021-09-19,12666.67
2021-09-20,13333.33
2021-09-21,13333.33
2021-09-22,13333.33
2021-09-23,13333.33
2021-09-24,12000.0
2021-09-25,13333.33
2021-09-26,13333.33
2021-09-27,18000.0
2021-09-28,18000.0
2021-09-29,16333.33
2021-09-30,16333.33
2021-10-01,17666.67
2021-10-02,17000.0
2021-10-03,17666.67
2021-10-04,24000.0
2021-10-05,24000.0
2021-10-06,23666.67
2021-10-07,22666.67
2021-10-08,25666.67
2021-10-09,25666.67
2021-10-10,25666.67
2021-10-11,24333.33
2021-10-12,22333.33
2021-10-13,20666.67
2021-10-14,20666.67
2021-10-15,22666.67
2021-10-16,21666.67
2021-10-17,21666.67
2021-10-18,22333.33
2021-10-19,22333.33
2021-10-20,22333.33
2021-10-21,20333.33
2021-10-22,19000.0
2021-10-23,18333.33
2021-10-24,18333.33
2021-10-25,17000.0
2021-10-26,16000.0
2021-10-27,15666.67
2021-10-28,15666.67
2021-10-29,16333.33
2021-10-30,17333.33
2021-10-31,17000.0
2021-11-01,14666.67
2021-11-02,14666.67
2021-11-03,14666.67
2021-11-04,17666.67
2021-11-05,20000.0
2021-11-06,21333.33
2021-11-07,21333.33
2021-11-08,22666.67
2021-11-09,25000.0
2021-11-10,25000.0
2021-11-11,24666.67
2021-11-12,24666.67
2021-11-13,24666.67
2021-11-14,24666.67
2021-11-15,24666.67
2021-11-16,25000.0
2021-11-17,25000.0
2021-11-18,25666.67
2021-11-19,26000.0
2021-11-20,27333.33
2021-11-21,27333.33
2021-11-22,35000.0
2021-11-23,35000.0
2021-11-24,35333.33
2021-11-25,35333.33
2021-11-26,35000.0
2021-11-27,32333.33
2021-11-28,32333.33
2021-11-29,32333.33
2021-11-30,34000.0
2021-12-01,33333.33
2021-12-02,32000.0
2021-12-03,34333.33
2021-12-04,36333.33
2021-12-05,36333.33
2021-12-06,37000.0
2021-12-07,36666.67
2021-12-08,36666.67
2021-12-09,37333.33
2021-12-10,38000.0
2021-12-11,36666.67
2021-12-12,35333.33
2021-12-13,34333.33
2021-12-14,28000.0
2021-12-15,28666.67
2021-12-16,28666.67
2021-12-17,28333.33
2021-12-18,27666.67
2021-12-19,27666.67
2021-12-20,27666.67
2021-12-21,26666.67
2021-12-22,26666.67
2021-12-23,24333.33
2021-12-24,23666.67
2021-12-25,24000.0
2021-12-26,23666.67
2021-12-27,24333.33
2021-12-28,22666.67
2021-12-29,23000.0
2021-12-30,21333.33
2021-12-31,20000.0
2022-01-01,20000.0
2022-01-02,20000.0
2022-01-03,24000.0
2022-01-04,22333.33
2022-01-05,22333.33
2022-01-06,22333.33
2022-01-07,22333.33
2022-01-08,22333.33
2022-01-09,22333.33
2022-01-10,21000.0
2022-01-11,19333.33
2022-01-12,19333.33
2022-01-13,19333.33
2022-01-14,19333.33
2022-01-15,19666.67
2022-01-16,19666.67
2022-01-17,23000.0
2022-01-18,26000.0
2022-01-19,26333.33
2022-01-20,26666.67
2022-01-21,27333.33
2022-01-22,27333.33
2022-01-23,28000.0
2022-01-24,26000.0
2022-01-25,26666.67
2022-01-26,26000.0
2022-01-27,23333.33
2022-01-28,21333.33
2022-01-29,20666.67
2022-01-30,20666.67
2022-01-31,20000.0
2022-02-01,20000.0
2022-02-02,20333.33
2022-02-03,23666.67
2022-02-04,22666.67
2022-02-05,23333.33
2022-02-06,23333.33
2022-02-07,23333.33
2022-02-08,23333.33
2022-02-09,22666.67
2022-02-10,25333.33
2022-02-11,25666.67
2022-02-12,27000.0
2022-02-13,28000.0
2022-02-14,30333.33
2022-02-15,31666.67
2022-02-16,32333.33
2022-02-17,34000.0
2022-02-18,32666.67
2022-02-19,32000.0
2022-02-20,32000.0
2022-02-21,32333.33
2022-02-22,32333.33
2022-02-23,32333.33
2022-02-24,32333.33
2022-02-25,33000.0
2022-02-26,34000.0
2022-02-27,35333.33
2022-02-28,35333.33
2022-03-01,38000.0
2022-03-02,40666.67
2022-03-03,41000.0
2022-03-04,39000.0
2022-03-05,41666.67
2022-03-06,45333.33
2022-03-07,45333.33
2022-03-08,46333.33
2022-03-09,45666.67
2022-03-10,43333.33
2022-03-11,41333.33
2022-03-12,40000.0
2022-03-13,43000.0
2022-03-14,43666.67
2022-03-15,42666.67
2022-03-16,41333.33
2022-03-17,44333.33
2022-03-18,45333.33
2022-03-19,45000.0
2022-03-20,45000.0
2022-03-21,44666.67
2022-03-22,43000.0
2022-03-23,43000.0
2022-03-24,44666.67
2022-03-25,42666.67
2022-03-26,42666.67
2022-03-27,43666.67
2022-03-28,44333.33
2022-03-29,44666.67
2022-03-30,45333.33
2022-03-31,46000.0
2022-04-01,48000.0
2022-04-02,48666.67
2022-04-03,49000.0
2022-04-04,49000.0
2022-04-05,47666.67
2022-04-06,46666.67
2022-04-07,43666.67
2022-04-08,41666.67
2022-04-09,40000.0
2022-04-10,38333.33
2022-04-11,33000.0
2022-04-12,28000.0
2022-04-13,27666.67
2022-04-14,27666.67
2022-04-15,24333.33
2022-04-16,24000.0
2022-04-17,23000.0
2022-04-18,24000.0
2022-04-19,23666.67
2022-04-20,23666.67
2022-04-21,25000.0
2022-04-22,26333.33
2022-04-23,32000.0
2022-04-24,32666.67
2022-04-25,35333.33
2022-04-26,38666.67
2022-04-27,41000.0
2022-04-28,40333.33
2022-04-29,36000.0
2022-04-30,36000.0
2022-05-01,37333.33
2022-05-02,37333.33
2022-05-03,37333.33
2022-05-04,37333.33
2022-05-05,38666.67
2022-05-06,38666.67
2022-05-07,38666.67
2022-05-08,38000.0
2022-05-09,31000.0
2022-05-10,26000.0
2022-05-11,26333.33
2022-05-12,30666.67
2022-05-13,32333.33
2022-05-14,32666.67
2022-05-15,32666.67
2022-05-16,34333.33
2022-05-17,37000.0
2022-05-18,37000.0
2022-05-19,44666.67
2022-05-20,44666.67
2022-05-21,45000.0
2022-05-22,45000.0
2022-05-23,43000.0
2022-05-24,44000.0
2022-05-25,45333.33
2022-05-26,49666.67
2022-05-27,47666.67
2022-05-28,47666.67
2022-05-29,46333.33
2022-05-30,54000.0
2022-05-31,54666.67
2022-06-01,50666.67
2022-06-02,52333.33
2022-06-03,54000.0
2022-06-04,57333.33
2022-06-05,55333.33
2022-06-06,57333.33
2022-06-07,61666.67
2022-06-08,61333.33
2022-06-09,65000.0
2022-06-10,65000.0
2022-06-11,66666.67
2022-06-12,67666.67
2022-06-13,64333.33
2022-06-14,66333.33
2022-06-15,66333.33
2022-06-16,66333.33
2022-06-17,66000.0
2022-06-18,66000.0
2022-06-19,66666.67
2022-06-20,62666.67
2022-06-21,63333.33
2022-06-22,63333.33
2022-06-23,61666.67
2022-06-24,61666.67
2022-06-25,60000.0
2022-06-26,68333.33
2022-06-27,65000.0
2022-06-28,66666.67
2022-06-29,66666.67
2022-06-30,65000.0
2022-07-01,65000.0
2022-07-02,63333.33
2022-07-03,63333.33
2022-07-04,70000.0
2022-07-05,72666.67
2022-07-06,79333.33
2022-07-07,81666.67
2022-07-08,81000.0
2022-07-09,78333.33
2022-07-10,78333.33
2022-07-11,73333.33
2022-07-12,75000.0
2022-07-13,75000.0
2022-07-14,74333.33
2022-07-15,74333.33
2022-07-16,74333.33
2022-07-17,74333.33
2022-07-18,81000.0
2022-07-19,81666.67
2022-07-20,81666.67
2022-07-21,81666.67
2022-07-22,78333.33
2022-07-23,80333.33
2022-07-24,80333.33
2022-07-25,79666.67
2022-07-26,78000.0
2022-07-27,72666.67
2022-07-28,72666.67
2022-07-29,72666.67
2022-07-30,75333.33
2022-07-31,74666.67
2022-08-01,64000.0
2022-08-02,64000.0
2022-08-03,63000.0
2022-08-04,57333.33
2022-08-05,57000.0
2022-08-06,56333.33
2022-08-07,55000.0
2022-08-08,53666.67
2022-08-09,53666.67
2022-08-10,55000.0
2022-08-11,57333.33
2022-08-12,53666.67
2022-08-13,51333.33
